Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","14863815","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","15558372","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2009","2009","tonnes","7249010","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2009","2009","tonnes","3638144","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2010","2010","tonnes","3463818","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2010","2010","tonnes","8195773","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","16450653","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","17367540","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2011","2011","tonnes","8409634","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2011","2011","tonnes","2596512","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2012","2012","tonnes","2061800","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2012","2012","tonnes","6653400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","16820900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","16750100","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2013","2013","tonnes","5633500","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2013","2013","tonnes","2098900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2014","2014","tonnes","2532900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2014","2014","tonnes","6098900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","16949600","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","17372300","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2015","2015","tonnes","6978800","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2015","2015","tonnes","2401500","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2016","2016","tonnes","2508300","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2016","2016","tonnes","6705400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","16735400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","16958000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","6854100","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","2778800","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","tonnes","2779100","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","6967900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","17628200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","18863900","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","7464800","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","2640900","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2020","2020","tonnes","3153700","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","tonnes","8977900","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","tonnes","20404000","P","Provisional official data"
